Transaccion_id,Fecha_transcc,Cliente_id,Factura,Fecha_Factura,Item,Precio_unitario,Cantidad,Subtotal,IVA_12,Total_Factura,Forma_pago
1,"2021-05-20 00:00:00",141,F-000-0001,"2021-05-20 00:00:00",Pack-A,150,2,300,36,336,Credito
2,"2021-01-22 00:00:00",229,F-000-0002,"2021-01-22 00:00:00",Pack-A,150,5,750,90,840,Credito
3,"2021-04-16 00:00:00",197,F-000-0003,"2021-04-16 00:00:00",Pack-A,150,4,600,72,672,Credito
4,"2021-02-02 00:00:00",348,F-000-0004,"2021-02-02 00:00:00",Pack-A,150,5,750,90,840,Credito
5,"2021-04-12 00:00:00",467,F-000-0005,"2021-04-12 00:00:00",Pack-C,350,4,1400,168,1568,Credito
6,"2021-06-16 00:00:00",229,F-000-0006,"2021-06-16 00:00:00",Pack-C,350,9,3150,378,3528,Credito
7,"2021-02-26 00:00:00",461,F-000-0007,"2021-02-26 00:00:00",Pack-A,150,7,1050,126,1176,Credito
8,"2021-02-08 00:00:00",461,F-000-0008,"2021-02-08 00:00:00",Pack-B,250,2,500,60,560,Credito
9,"2021-01-25 00:00:00",358,F-000-0009,"2021-01-25 00:00:00",Pack-B,250,9,2250,270,2520,Credito
10,"2021-05-28 00:00:00",329,F-000-0010,"2021-05-28 00:00:00",Pack-C,350,7,2450,294,2744,Credito
11,"2021-05-24 00:00:00",254,F-000-0011,"2021-05-24 00:00:00",Pack-B,250,3,750,90,840,Credito
12,"2021-01-12 00:00:00",254,F-000-0012,"2021-01-12 00:00:00",Pack-A,150,7,1050,126,1176,Credito
13,"2021-01-11 00:00:00",228,F-000-0013,"2021-01-11 00:00:00",Pack-B,250,8,2000,240,2240,Credito
14,"2021-02-08 00:00:00",157,F-000-0014,"2021-02-08 00:00:00",Pack-C,350,8,2800,336,3136,Credito
15,"2021-02-05 00:00:00",306,F-000-0015,"2021-02-05 00:00:00",Pack-B,250,9,2250,270,2520,Credito
16,"2021-03-29 00:00:00",430,F-000-0016,"2021-03-29 00:00:00",Pack-B,250,8,2000,240,2240,Credito
17,"2021-04-28 00:00:00",26,F-000-0017,"2021-04-28 00:00:00",Pack-B,250,8,2000,240,2240,Credito
18,"2021-06-04 00:00:00",467,F-000-0018,"2021-06-04 00:00:00",Pack-B,250,6,1500,180,1680,Credito
19,"2021-02-16 00:00:00",253,F-000-0019,"2021-02-16 00:00:00",Pack-A,150,1,150,18,168,Credito
20,"2021-01-15 00:00:00",221,F-000-0020,"2021-01-15 00:00:00",Pack-B,250,2,500,60,560,Credito
21,"2021-01-11 00:00:00",185,F-000-0021,"2021-01-11 00:00:00",Pack-A,150,7,1050,126,1176,Credito
22,"2021-04-16 00:00:00",142,F-000-0022,"2021-04-16 00:00:00",Pack-A,150,1,150,18,168,Credito
23,"2021-01-27 00:00:00",165,F-000-0023,"2021-01-27 00:00:00",Pack-B,250,2,500,60,560,Credito
24,"2021-01-06 00:00:00",348,F-000-0024,"2021-01-06 00:00:00",Pack-B,250,9,2250,270,2520,Credito
25,"2021-03-03 00:00:00",430,F-000-0025,"2021-03-03 00:00:00",Pack-C,350,7,2450,294,2744,Credito
26,"2021-01-27 00:00:00",443,F-000-0026,"2021-01-27 00:00:00",Pack-C,350,6,2100,252,2352,Credito
27,"2021-04-22 00:00:00",500,F-000-0027,"2021-04-22 00:00:00",Pack-A,150,7,1050,126,1176,Credito
